PassengerId,Survived,Pclass,Name,Sex,Age,SibSp,Parch,Ticket,Fare,Cabin,Embarked
54,0,3,Mr. Passenger 53,male,32.6,0,0,TCK100053,15.5,,C
55,0,3,Mr. Passenger 54,male,25.1,1,0,TCK100054,8.33,,S
56,1,3,Miss. Passenger 55,female,4.9,0,0,TCK100055,14.76,,C
57,1,3,Mrs. Passenger 56,female,24.8,1,1,TCK100056,25.62,,S
58,1,3,Mrs. Passenger 57,female,24.7,0,0,TCK100057,13.53,,S
59,1,1,Mr. Passenger 58,male,27.1,0,1,TCK100058,133.12,C92,S
60,1,1,Mr. Passenger 59,male,21.7,0,0,TCK100059,59.12,C20,C
61,1,3,Mr. Passenger 60,male,23.2,0,0,TCK100060,12.78,,S
62,0,3,Mr. Passenger 61,male,28.5,0,0,TCK100061,16.22,,S
63,0,3,Mr. Passenger 62,male,34.8,1,1,TCK100062,15.07,,S
64,0,3,Mrs. Passenger 63,female,25.0,1,0,TCK100063,9.01,,S
65,0,3,Mrs. Passenger 64,female,23.7,0,0,TCK100064,8.79,,S
66,1,3,Miss. Passenger 65,female,30.2,1,0,TCK100065,18.14,,S
67,1,3,Mr. Passenger 66,male,4.0,1,0,TCK100066,19.2,,C
68,0,2,Mr. Passenger 67,male,35.2,1,0,TCK100067,32.1,D117,S
69,0,1,Mr. Passenger 68,male,,1,0,TCK100068,144.61,,S
70,0,2,Mr. Passenger 69,male,29.5,0,1,TCK100069,21.08,,S
71,1,1,Mr. Passenger 70,male,,0,0,TCK100070,73.54,,S
72,1,2,Mr. Passenger 71,male,,0,0,TCK100071,30.81,D104,Q
73,0,3,Mr. Passenger 72,male,3.3,2,0,TCK100072,16.71,,S
74,1,1,Mrs. Passenger 73,female,32.6,0,0,TCK100073,50.99,C149,S
75,0,1,Mr. Passenger 74,male,28.9,0,0,TCK100074,49.27,,S
76,1,2,Mrs. Passenger 75,female,31.2,0,0,TCK100075,23.94,,Q
77,1,2,Mr. Passenger 76,male,23.0,2,0,TCK100076,18.58,,S
78,0,3,Mr. Passenger 77,male,37.6,0,0,TCK100077,12.86,,C
79,0,3,Mr. Passenger 78,male,41.1,0,1,TCK100078,18.58,,S
80,0,3,Mr. Passenger 79,male,35.3,1,0,TCK100079,16.95,,S
81,0,3,Mr. Passenger 80,male,,4,0,TCK100080,19.92,,S
82,1,2,Mr. Passenger 81,male,1.6,0,2,TCK100081,4.55,D60,S
83,1,3,Mrs. Passenger 82,female,,1,2,TCK100082,14.32,,
84,0,1,Mr. Passenger 83,male,44.9,1,0,TCK100083,107.34,,S
85,1,1,Mr. Passenger 84,male,37.4,0,0,TCK100084,32.71,C141,C
86,1,1,Mr. Passenger 85,male,17.6,1,0,TCK100085,62.0,C99,C
87,0,3,Mr. Passenger 86,male,37.8,0,0,TCK100086,8.63,,C
88,0,3,Mr. Passenger 87,male,,0,0,TCK100087,13.11,,S
89,1,1,Mr. Passenger 88,male,49.3,0,0,TCK100088,138.7,C130,S
90,1,3,Mrs. Passenger 89,female,17.6,0,0,TCK100089,23.52,,Q
91,1,1,Mrs. Passenger 90,female,,0,0,TCK100090,56.64,C11,S
92,1,3,Mrs. Passenger 91,female,38.7,0,0,TCK100091,15.74,,S
93,0,2,Mr. Passenger 92,male,29.7,0,0,TCK100092,24.47,D139,C
94,1,2,Mr. Passenger 93,male,14.5,0,0,TCK100093,23.1,,S
95,0,2,Mrs. Passenger 94,female,34.4,0,1,TCK100094,23.19,,S
96,0,3,Mr. Passenger 95,male,36.5,0,1,TCK100095,14.58,,C
97,1,2,Mr. Passenger 96,male,30.1,1,0,TCK100096,33.5,,S
98,1,1,Mr. Passenger 97,male,31.9,1,0,TCK100097,121.04,,S
99,1,1,Miss. Passenger 98,female,25.6,0,0,TCK100098,48.38,,S
100,0,3,Mr. Passenger 99,male,48.2,2,0,TCK100099,17.14,,S
101,1,3,Mrs. Passenger 100,female,17.3,0,0,TCK100100,17.64,,C
102,1,3,Mrs. Passenger 101,female,21.4,1,0,TCK100101,14.64,,S
103,0,2,Mr. Passenger 102,male,29.1,0,0,TCK100102,29.05,D41,S
104,0,3,Mrs. Passenger 103,female,,1,0,TCK100103,13.98,,C
105,0,3,Mr. Passenger 104,male,9.5,3,0,TCK100104,14.04,,S
106,0,3,Mr. Passenger 105,male,12.0,1,0,TCK100105,13.63,,C
107,1,2,Mr. Passenger 106,male,2.5,0,0,TCK100106,4.0,,S
108,1,2,Miss. Passenger 107,female,,0,2,TCK100107,19.36,,S
109,1,1,Mr. Passenger 108,male,14.5,0,0,TCK100108,61.55,,S
110,1,3,Mr. Passenger 109,male,24.0,0,0,TCK100109,6.83,,S
111,0,3,Mr. Passenger 110,male,37.6,1,0,TCK100110,20.46,,C
112,1,1,Mr. Passenger 111,male,20.7,4,0,TCK100111,100.94,,C
113,1,2,Mr. Passenger 112,male,32.0,0,0,TCK100112,19.76,D144,Q
114,0,3,Mr. Passenger 113,male,25.1,0,0,TCK100113,10.06,,S
115,1,1,Mr. Passenger 114,male,37.7,0,0,TCK100114,93.95,,C
116,1,3,Miss. Passenger 115,female,35.2,0,0,TCK100115,18.16,,S
117,0,3,Mr. Passenger 116,male,,0,0,TCK100116,8.7,,Q
118,1,3,Miss. Passenger 117,female,26.8,0,0,TCK100117,12.97,,S
119,0,2,Mr. Passenger 118,male,42.6,1,0,TCK100118,26.94,,C
120,1,3,Mrs. Passenger 119,female,34.1,0,0,TCK100119,4.0,,S
121,0,3,Mr. Passenger 120,male,,0,1,TCK100120,12.7,,S
122,0,3,Mr. Passenger 121,male,37.5,0,0,TCK100121,10.77,,C
123,1,1,Mrs. Passenger 122,female,14.9,1,0,TCK100122,79.5,,S
124,1,2,Mr. Passenger 123,male,47.4,1,0,TCK100123,15.99,D46,S
125,1,1,Mr. Passenger 124,male,42.3,0,0,TCK100124,88.62,C143,Q
126,1,3,Miss. Passenger 125,female,32.8,0,0,TCK100125,23.0,,S
127,1,2,Miss. Passenger 126,female,31.0,0,0,TCK100126,17.41,D55,S
128,0,1,Mr. Passenger 127,male,26.3,0,0,TCK100127,93.8,,S
129,0,1,Mr. Passenger 128,male,37.8,0,0,TCK100128,151.02,C143,S
130,1,3,Mrs. Passenger 129,female,24.2,0,0,TCK100129,10.14,,S
131,1,1,Miss. Passenger 130,female,32.1,2,1,TCK100130,144.97,,Q
132,1,3,Mrs. Passenger 131,female,40.3,0,0,TCK100131,13.03,,Q
133,1,3,Mr. Passenger 132,male,21.7,0,3,TCK100132,22.27,,S
134,1,2,Miss. Passenger 133,female,21.0,0,0,TCK100133,26.0,D85,S
135,0,3,Mr. Passenger 134,male,13.5,2,1,TCK100134,14.6,,S
136,1,1,Mrs. Passenger 135,female,15.2,3,1,TCK100135,81.79,C5,C
137,0,3,Mr. Passenger 136,male,5.2,1,0,TCK100136,9.75,,S
138,1,3,Miss. Passenger 137,female,38.5,0,1,TCK100137,13.39,,S
139,0,3,Mr. Passenger 138,male,52.5,0,2,TCK100138,17.67,,Q
140,1,1,Mr. Passenger 139,male,,1,0,TCK100139,83.56,C70,C
141,1,3,Mrs. Passenger 140,female,7.9,1,0,TCK100140,11.35,,S
142,0,3,Mr. Passenger 141,male,38.4,0,0,TCK100141,11.7,,S
143,1,3,Mrs. Passenger 142,female,47.5,0,1,TCK100142,18.16,,S
144,0,3,Mr. Passenger 143,male,,0,0,TCK100143,19.37,,S
145,0,3,Mr. Passenger 144,male,30.3,1,1,TCK100144,9.53,,S
146,0,2,Mr. Passenger 145,male,,1,1,TCK100145,14.65,D2,S
147,1,2,Mr. Passenger 146,male,32.5,0,2,TCK100146,23.03,D30,S
148,1,3,Mr. Passenger 147,male,15.2,0,0,TCK100147,20.94,,S
149,1,2,Mr. Passenger 148,male,31.6,0,0,TCK100148,29.17,D92,S
150,1,1,Mr. Passenger 149,male,,0,0,TCK100149,41.94,,S
151,1,3,Mrs. Passenger 150,female,36.1,0,2,TCK100150,11.63,,Q
152,1,3,Mrs. Passenger 151,female,42.3,1,2,TCK100151,8.16,,S
153,1,1,Mrs. Passenger 152,female,,0,0,TCK100152,75.01,C80,C
154,0,3,Mr. Passenger 153,male,14.2,0,0,TCK100153,21.34,,S
155,1,1,Mr. Passenger 154,male,1.0,0,0,TCK100154,36.2,C100,S
156,0,3,Mr. Passenger 155,male,25.5,0,3,TCK100155,4.58,,C
157,1,2,Miss. Passenger 156,female,21.4,0,0,TCK100156,13.37,,S
158,1,3,Mrs. Passenger 157,female,8.8,0,0,TCK100157,14.49,,S
159,0,3,Mr. Passenger 158,male,,0,1,TCK100158,16.23,,S
160,1,3,Miss. Passenger 159,female,23.2,1,0,TCK100159,15.27,,S
161,0,1,Mr. Passenger 160,male,15.0,0,0,TCK100160,123.5,,S
162,0,3,Mr. Passenger 161,male,21.8,0,0,TCK100161,4.0,,S
163,1,1,Mr. Passenger 162,male,42.9,0,1,TCK100162,123.93,C81,S
164,0,1,Mr. Passenger 163,male,36.8,1,0,TCK100163,73.51,C53,S
165,0,3,Mrs. Passenger 164,female,27.3,0,0,TCK100164,16.8,,S
166,1,2,Mrs. Passenger 165,female,37.0,1,0,TCK100165,9.41,D8,S
167,0,3,Mr. Passenger 166,male,13.9,2,0,TCK100166,13.03,,S
168,1,3,Mr. Passenger 167,male,29.4,0,1,TCK100167,14.23,,S
169,1,2,Mrs. Passenger 168,female,30.9,0,0,TCK100168,29.25,D139,S
170,1,3,Mrs. Passenger 169,female,22.9,1,0,TCK100169,4.76,,S
171,0,2,Mr. Passenger 170,male,34.7,0,0,TCK100170,20.25,,S
172,0,3,Mr. Passenger 171,male,,0,0,TCK100171,7.36,,S
173,1,2,Mr. Passenger 172,male,35.6,0,0,TCK100172,24.04,,S
174,0,3,Mr. Passenger 173,male,36.2,0,0,TCK100173,17.04,,S
175,1,1,Miss. Passenger 174,female,0.4,0,0,TCK100174,127.25,,Q
176,1,1,Mr. Passenger 175,male,44.5,0,0,TCK100175,66.02,,Q
177,1,2,Miss. Passenger 176,female,0.4,0,0,TCK100176,27.42,D82,S
178,0,3,Mr. Passenger 177,male,,0,0,TCK100177,20.08,,S
179,0,3,Mr. Passenger 178,male,,0,2,TCK100178,4.46,,S
180,1,3,Miss. Passenger 179,female,24.9,2,0,TCK100179,16.18,,C
181,1,3,Mr. Passenger 180,male,,0,3,TCK100180,17.98,,C
182,0,3,Mr. Passenger 181,male,,0,0,TCK100181,11.65,,S
183,1,3,Mrs. Passenger 182,female,42.3,0,0,TCK100182,6.7,,S
184,1,2,Mrs. Passenger 183,female,4.0,0,0,TCK100183,27.54,D102,S
185,0,3,Mr. Passenger 184,male,43.7,0,0,TCK100184,6.76,,C
186,0,3,Mr. Passenger 185,male,28.3,0,1,TCK100185,12.07,,C
187,0,2,Mr. Passenger 186,male,13.5,0,0,TCK100186,19.68,D54,S
188,0,1,Mr. Passenger 187,male,21.4,0,0,TCK100187,108.04,C52,S
189,0,3,Mr. Passenger 188,male,15.8,0,0,TCK100188,9.74,,S
190,0,2,Mr. Passenger 189,male,40.3,0,0,TCK100189,14.52,,S
191,0,3,Mrs. Passenger 190,female,38.5,0,2,TCK100190,13.51,,Q
192,1,2,Mrs. Passenger 191,female,6.7,0,2,TCK100191,28.05,D4,S
193,1,1,Miss. Passenger 192,female,23.8,0,0,TCK100192,160.86,C13,S
194,1,3,Mrs. Passenger 193,female,,0,1,TCK100193,5.16,,S
195,0,1,Miss. Passenger 194,female,45.8,0,1,TCK100194,94.6,C59,S
196,1,1,Miss. Passenger 195,female,11.4,0,0,TCK100195,47.49,C71,C
197,1,3,Mrs. Passenger 196,female,49.9,0,0,TCK100196,18.3,,S
198,1,3,Mr. Passenger 197,male,28.6,0,0,TCK100197,8.12,,C
199,0,1,Mr. Passenger 198,male,13.9,2,0,TCK100198,61.33,C111,S
200,0,2,Mr. Passenger 199,male,20.2,0,2,TCK100199,15.29,,S
201,0,3,Mr. Passenger 200,male,,0,0,TCK100200,12.6,,S
202,0,3,Mr. Passenger 201,male,,0,1,TCK100201,14.68,,S
203,0,3,Mr. Passenger 202,male,,3,2,TCK100202,15.52,,S
204,1,1,Mr. Passenger 203,male,13.0,0,0,TCK100203,83.81,,S
205,1,1,Mr. Passenger 204,male,0.7,0,0,TCK100204,39.32,,S
206,0,1,Mr. Passenger 205,male,24.1,3,2,TCK100205,108.45,C27,S
207,1,1,Miss. Passenger 206,female,5.6,0,2,TCK100206,82.22,C137,S
208,0,3,Miss. Passenger 207,female,19.2,3,0,TCK100207,19.04,,S
209,1,1,Mr. Passenger 208,male,17.2,0,0,TCK100208,60.22,,C
210,0,3,Mr. Passenger 209,male,17.7,0,0,TCK100209,4.67,,Q
211,1,3,Mr. Passenger 210,male,55.0,0,0,TCK100210,12.82,,S
212,0,3,Miss. Passenger 211,female,29.7,0,0,TCK100211,19.74,,C
213,1,1,Mrs. Passenger 212,female,32.2,2,0,TCK100212,89.41,,C
214,0,3,Mr. Passenger 213,male,5.9,0,0,TCK100213,11.96,,Q
215,0,3,Miss. Passenger 214,female,,4,0,TCK100214,8.47,,S
216,1,3,Mr. Passenger 215,male,,0,0,TCK100215,22.14,,S
217,0,1,Mr. Passenger 216,male,15.7,0,0,TCK100216,49.41,,S
218,1,1,Mrs. Passenger 217,female,40.8,2,1,TCK100217,59.63,,C
219,0,3,Mr. Passenger 218,male,13.4,0,0,TCK100218,15.96,,C
220,0,2,Mr. Passenger 219,male,25.3,2,0,TCK100219,5.15,,S
221,1,2,Mr. Passenger 220,male,21.4,0,0,TCK100220,30.2,D119,S
222,0,3,Mr. Passenger 221,male,31.1,1,0,TCK100221,16.25,,C
223,0,3,Mrs. Passenger 222,female,20.7,0,0,TCK100222,17.68,,C
224,1,3,Miss. Passenger 223,female,25.5,0,0,TCK100223,15.9,,S
225,0,2,Mr. Passenger 224,male,25.9,0,0,TCK100224,18.71,D22,S
226,0,3,Mr. Passenger 225,male,,0,0,TCK100225,7.47,,S
227,1,1,Miss. Passenger 226,female,35.3,0,0,TCK100226,79.29,C96,S
228,1,3,Mr. Passenger 227,male,32.1,0,0,TCK100227,7.93,,S
229,0,3,Mrs. Passenger 228,female,27.8,1,2,TCK100228,15.53,,C
230,1,1,Miss. Passenger 229,female,23.4,0,1,TCK100229,111.11,,Q
231,1,1,Mr. Passenger 230,male,39.4,1,0,TCK100230,133.62,C103,S
232,1,2,Mrs. Passenger 231,female,25.9,4,0,TCK100231,22.97,D32,S
233,0,3,Mr. Passenger 232,male,25.0,0,0,TCK100232,17.81,,S
234,1,3,Mr. Passenger 233,male,30.4,0,0,TCK100233,11.45,,S
235,1,3,Mr. Passenger 234,male,51.1,0,0,TCK100234,10.51,,S
236,0,3,Mr. Passenger 235,male,11.6,0,0,TCK100235,15.46,,S
237,1,3,Mrs. Passenger 236,female,39.0,0,0,TCK100236,10.99,,S
238,1,3,Miss. Passenger 237,female,4.4,1,0,TCK100237,14.4,,S
239,1,1,Mrs. Passenger 238,female,31.8,0,0,TCK100238,48.34,C68,S
240,1,1,Mrs. Passenger 239,female,,0,1,TCK100239,54.38,C139,C
241,0,3,Mr. Passenger 240,male,35.4,1,1,TCK100240,16.3,,S
242,0,3,Mr. Passenger 241,male,31.2,0,0,TCK100241,17.61,,S
243,0,1,Mrs. Passenger 242,female,21.7,0,0,TCK100242,50.88,,C
244,1,3,Mrs. Passenger 243,female,29.4,0,0,TCK100243,16.49,,S
245,1,3,Mr. Passenger 244,male,25.7,1,0,TCK100244,10.23,,S
246,1,3,Mr. Passenger 245,male,,0,0,TCK100245,13.09,,S
247,0,3,Mr. Passenger 246,male,25.2,0,0,TCK100246,20.37,,S
248,0,2,Mr. Passenger 247,male,31.6,0,0,TCK100247,26.46,,S
249,1,2,Mrs. Passenger 248,female,19.0,0,2,TCK100248,26.37,,S
250,1,2,Mr. Passenger 249,male,18.5,0,0,TCK100249,35.27,D72,S
251,1,3,Mrs. Passenger 250,female,11.3,0,0,TCK100250,9.34,,S
252,1,3,Mrs. Passenger 251,female,34.1,3,0,TCK100251,7.87,,S
253,1,3,Mrs. Passenger 252,female,,0,0,TCK100252,9.24,,S
254,0,2,Mr. Passenger 253,male,32.0,1,0,TCK100253,17.96,,S
255,0,1,Mr. Passenger 254,male,41.5,0,0,TCK100254,4.89,,S
256,1,3,Mrs. Passenger 255,female,30.1,0,0,TCK100255,11.92,,C
257,1,3,Miss. Passenger 256,female,34.1,0,0,TCK100256,10.17,,S
258,1,1,Mr. Passenger 257,male,,0,0,TCK100257,110.33,,S
259,1,1,Mrs. Passenger 258,female,,1,1,TCK100258,95.84,,S
260,0,3,Mr. Passenger 259,male,22.1,2,0,TCK100259,9.88,,S
261,1,1,Mrs. Passenger 260,female,57.8,1,0,TCK100260,103.82,,Q
262,0,3,Mr. Passenger 261,male,,0,0,TCK100261,16.76,,S
263,0,2,Mr. Passenger 262,male,20.3,1,0,TCK100262,13.85,D48,S
264,1,1,Mr. Passenger 263,male,34.6,0,0,TCK100263,67.43,,C
265,0,3,Mr. Passenger 264,male,32.3,2,2,TCK100264,4.0,,C
266,1,1,Mr. Passenger 265,male,10.7,0,0,TCK100265,47.35,C47,S
267,1,2,Mr. Passenger 266,male,43.6,0,0,TCK100266,14.06,D4,S
268,0,1,Mr. Passenger 267,male,,0,0,TCK100267,86.49,,S
269,1,1,Miss. Passenger 268,female,14.6,0,0,TCK100268,52.24,,S
270,1,1,Mr. Passenger 269,male,,0,0,TCK100269,66.75,,S
271,1,1,Mrs. Passenger 270,female,37.1,2,0,TCK100270,42.83,,S
272,1,1,Mrs. Passenger 271,female,12.6,1,0,TCK100271,89.75,C69,C
273,0,1,Mr. Passenger 272,male,52.1,2,0,TCK100272,98.3,C81,S
274,0,3,Mr. Passenger 273,male,37.6,0,0,TCK100273,15.09,,S
275,0,3,Mrs. Passenger 274,female,28.9,0,0,TCK100274,13.06,,S
276,1,2,Mrs. Passenger 275,female,,0,0,TCK100275,7.67,D53,S
277,1,2,Mr. Passenger 276,male,31.1,0,1,TCK100276,15.04,,S
278,1,3,Miss. Passenger 277,female,28.6,0,0,TCK100277,10.88,,C
279,0,3,Mr. Passenger 278,male,20.4,0,0,TCK100278,10.9,,S
280,1,3,Mr. Passenger 279,male,36.6,0,0,TCK100279,13.39,,S
281,1,1,Miss. Passenger 280,female,35.2,0,0,TCK100280,131.9,,S
282,1,1,Mr. Passenger 281,male,29.2,0,0,TCK100281,111.29,,S
283,1,1,Miss. Passenger 282,female,18.7,0,0,TCK100282,50.82,,S
284,1,2,Mr. Passenger 283,male,30.7,0,0,TCK100283,25.43,D65,Q
285,1,3,Mrs. Passenger 284,female,28.1,2,2,TCK100284,16.33,,S
286,0,2,Mr. Passenger 285,male,,0,0,TCK100285,13.55,D54,S
287,1,1,Mr. Passenger 286,male,9.9,1,0,TCK100286,112.52,,Q
288,0,2,Mr. Passenger 287,male,36.3,0,0,TCK100287,18.72,D30,S
289,0,3,Mr. Passenger 288,male,,1,0,TCK100288,5.67,,Q
290,1,1,Miss. Passenger 289,female,31.7,1,0,TCK100289,99.29,,S
291,0,3,Mr. Passenger 290,male,22.8,1,0,TCK100290,14.13,,S
292,0,1,Mr. Passenger 291,male,,0,0,TCK100291,76.35,,Q
293,0,3,Mr. Passenger 292,male,22.6,0,0,TCK100292,12.81,,S
294,1,1,Mr. Passenger 293,male,37.6,0,0,TCK100293,59.84,C96,S
295,1,3,Mrs. Passenger 294,female,,0,3,TCK100294,16.17,,S
296,0,3,Mr. Passenger 295,male,30.5,0,0,TCK100295,12.77,,S
297,1,3,Miss. Passenger 296,female,38.6,0,0,TCK100296,13.87,,S
298,0,3,Mr. Passenger 297,male,23.0,0,2,TCK100297,14.86,,S
299,1,3,Miss. Passenger 298,female,42.0,0,0,TCK100298,7.0,,S
300,0,3,Mr. Passenger 299,male,16.1,0,0,TCK100299,8.35,,S
301,0,3,Mr. Passenger 300,male,32.8,0,0,TCK100300,4.0,,S
302,0,1,Mrs. Passenger 301,female,41.0,1,2,TCK100301,102.98,,S
303,0,3,Miss. Passenger 302,female,,1,0,TCK100302,6.7,,S
304,1,3,Mrs. Passenger 303,female,53.9,0,0,TCK100303,13.69,,S
305,0,3,Mr. Passenger 304,male,,0,3,TCK100304,14.93,,S
306,1,3,Mr. Passenger 305,male,11.1,0,0,TCK100305,16.13,,S
307,1,2,Miss. Passenger 306,female,16.1,0,3,TCK100306,10.37,,S
308,0,3,Mr. Passenger 307,male,37.6,0,1,TCK100307,12.66,,S
309,1,2,Mrs. Passenger 308,female,35.5,0,2,TCK100308,33.36,D36,S
310,0,1,Mr. Passenger 309,male,30.3,3,0,TCK100309,141.6,,S
311,0,3,Mr. Passenger 310,male,14.4,0,0,TCK100310,18.13,,Q
312,1,2,Mrs. Passenger 311,female,,1,0,TCK100311,22.7,,Q
313,1,1,Miss. Passenger 312,female,13.1,0,0,TCK100312,50.23,,S
314,0,2,Mr. Passenger 313,male,44.1,0,0,TCK100313,25.75,,Q
315,0,2,Mr. Passenger 314,male,66.1,1,2,TCK100314,18.74,,C
316,0,2,Mr. Passenger 315,male,33.8,0,0,TCK100315,24.48,,S
317,0,2,Mr. Passenger 316,male,36.6,1,0,TCK100316,14.94,,C
318,0,3,Mr. Passenger 317,male,22.6,0,0,TCK100317,12.1,,S
319,1,2,Mr. Passenger 318,male,,0,0,TCK100318,21.31,,S
320,1,3,Miss. Passenger 319,female,21.2,0,0,TCK100319,14.28,,S
321,1,3,Miss. Passenger 320,female,14.8,1,0,TCK100320,15.57,,S
322,1,3,Mr. Passenger 321,male,10.2,0,1,TCK100321,9.99,,S
323,1,2,Mr. Passenger 322,male,,1,0,TCK100322,9.25,D9,Q
324,1,3,Mr. Passenger 323,male,32.5,1,0,TCK100323,21.45,,S
325,0,3,Mr. Passenger 324,male,,1,0,TCK100324,25.94,,S
326,1,3,Mr. Passenger 325,male,25.0,0,0,TCK100325,15.33,,S
327,0,3,Mr. Passenger 326,male,26.8,1,1,TCK100326,6.12,,S
328,1,3,Mrs. Passenger 327,female,41.5,2,1,TCK100327,8.98,,C
329,0,3,Mr. Passenger 328,male,28.6,0,0,TCK100328,15.65,,C
330,1,2,Mr. Passenger 329,male,35.9,0,1,TCK100329,30.73,,S
331,1,3,Mr. Passenger 330,male,26.5,0,0,TCK100330,6.69,,S
332,1,1,Mrs. Passenger 331,female,24.6,0,0,TCK100331,79.82,,S
333,0,3,Mr. Passenger 332,male,,1,1,TCK100332,14.02,,S
334,1,3,Mr. Passenger 333,male,3.3,0,0,TCK100333,17.5,,C
335,1,1,Mrs. Passenger 334,female,25.6,0,0,TCK100334,72.46,,C
336,1,3,Mr. Passenger 335,male,,0,0,TCK100335,4.87,,S
337,0,1,Mr. Passenger 336,male,12.3,0,0,TCK100336,104.87,C40,S
338,1,3,Miss. Passenger 337,female,,0,0,TCK100337,18.85,,S
339,1,1,Mr. Passenger 338,male,29.7,1,0,TCK100338,81.22,,S
340,0,3,Mr. Passenger 339,male,1.0,0,0,TCK100339,15.11,,S
341,1,1,Mr. Passenger 340,male,17.1,0,0,TCK100340,68.06,C22,S
342,0,3,Mr. Passenger 341,male,34.3,1,1,TCK100341,8.6,,S
343,0,3,Mrs. Passenger 342,female,,0,0,TCK100342,18.34,,Q
344,0,3,Mr. Passenger 343,male,14.0,0,2,TCK100343,15.01,,S
345,1,3,Mr. Passenger 344,male,31.1,0,0,TCK100344,15.55,,S
346,0,3,Mr. Passenger 345,male,42.3,3,0,TCK100345,20.81,,S
